class,precision,recall,f1,support,model
36,0.98,1.0,0.98989899,49,balanced_wt_ResNet_50.csv
37,1.0,1.0,1.0,44,balanced_wt_ResNet_50.csv
38,0.970744681,0.981182796,0.975935829,372,balanced_wt_ResNet_50.csv
39,1.0,1.0,1.0,88,balanced_wt_ResNet_50.csv
40,0.993730408,0.98447205,0.989079563,322,balanced_wt_ResNet_50.csv
41,0.960714286,0.996296296,0.978181818,270,balanced_wt_ResNet_50.csv
42,0.989285714,0.989285714,0.989285714,280,balanced_wt_ResNet_50.csv
0,0.923076923,1.0,0.96,36,balanced_wt_ResNet_152.csv
1,0.975056689,0.947136564,0.960893855,454,balanced_wt_ResNet_152.csv
2,0.995444191,0.995444191,0.995444191,439,balanced_wt_ResNet_152.csv
3,0.992424242,0.988679245,0.990548204,265,balanced_wt_ResNet_152.csv
4,1.0,0.997624703,0.998810939,421,balanced_wt_ResNet_152.csv
5,0.995391705,1.0,0.997690531,432,balanced_wt_ResNet_152.csv
6,0.993865031,1.0,0.996923077,162,balanced_wt_ResNet_152.csv
7,0.949579832,0.965811966,0.957627119,117,balanced_wt_ResNet_152.csv
8,1.0,1.0,1.0,81,balanced_wt_ResNet_152.csv
9,1.0,1.0,1.0,227,balanced_wt_ResNet_152.csv
10,0.995833333,0.971544715,0.983539095,246,balanced_wt_ResNet_152.csv
11,0.976744186,1.0,0.988235294,42,balanced_wt_ResNet_152.csv
12,0.961711712,0.940528634,0.951002227,454,balanced_wt_ResNet_152.csv
13,0.949152542,0.98245614,0.965517241,57,balanced_wt_ResNet_152.csv
14,0.983870968,0.897058824,0.938461538,68,balanced_wt_ResNet_152.csv
15,1.0,1.0,1.0,82,balanced_wt_ResNet_152.csv
16,0.989247312,0.978723404,0.983957219,94,balanced_wt_ResNet_152.csv
17,1.0,0.981132075,0.99047619,53,balanced_wt_ResNet_152.csv
18,0.983713355,0.990163934,0.986928105,305,balanced_wt_ResNet_152.csv
19,0.979020979,0.992907801,0.985915493,141,balanced_wt_ResNet_152.csv
20,1.0,0.978723404,0.989247312,47,balanced_wt_ResNet_152.csv
21,0.98989899,0.98,0.984924623,100,balanced_wt_ResNet_152.csv
22,0.961538462,0.980392157,0.970873786,51,balanced_wt_ResNet_152.csv
23,0.954703833,0.944827586,0.949740035,290,balanced_wt_ResNet_152.csv
24,0.950617284,0.974683544,0.9625,79,balanced_wt_ResNet_152.csv
25,0.973509934,0.98,0.976744186,150,balanced_wt_ResNet_152.csv
26,0.975609756,1.0,0.987654321,40,balanced_wt_ResNet_152.csv
27,1.0,0.99270073,0.996336996,137,balanced_wt_ResNet_152.csv
28,1.0,1.0,1.0,83,balanced_wt_ResNet_152.csv
29,0.995495495,0.995495495,0.995495495,222,balanced_wt_ResNet_152.csv
30,0.983870968,0.983870968,0.983870968,62,balanced_wt_ResNet_152.csv
31,1.0,1.0,1.0,47,balanced_wt_ResNet_152.csv
32,0.982758621,1.0,0.991304348,399,balanced_wt_ResNet_152.csv
33,1.0,1.0,1.0,68,balanced_wt_ResNet_152.csv
34,0.97715736,0.974683544,0.975918885,395,balanced_wt_ResNet_152.csv
35,1.0,1.0,1.0,79,balanced_wt_ResNet_152.csv
36,1.0,1.0,1.0,49,balanced_wt_ResNet_152.csv
37,1.0,1.0,1.0,44,balanced_wt_ResNet_152.csv
38,0.916666667,0.975806452,0.9453125,372,balanced_wt_ResNet_152.csv
39,1.0,1.0,1.0,88,balanced_wt_ResNet_152.csv
40,0.972136223,0.97515528,0.973643411,322,balanced_wt_ResNet_152.csv
41,0.981203008,0.966666667,0.973880597,270,balanced_wt_ResNet_152.csv
42,0.996402878,0.989285714,0.992831541,280,balanced_wt_ResNet_152.csv
0,1.0,0.666666667,0.8,36,imbalanced_cnn.csv
1,0.969194313,0.900881057,0.933789954,454,imbalanced_cnn.csv
2,0.99543379,0.993166287,0.994298746,439,imbalanced_cnn.csv
3,0.9390681,0.988679245,0.963235294,265,imbalanced_cnn.csv
4,0.988235294,0.997624703,0.992907801,421,imbalanced_cnn.csv
5,0.977272727,0.99537037,0.986238532,432,imbalanced_cnn.csv
6,1.0,1.0,1.0,162,imbalanced_cnn.csv
7,0.913385827,0.991452991,0.950819672,117,imbalanced_cnn.csv
8,0.964285714,1.0,0.981818182,81,imbalanced_cnn.csv
9,1.0,1.0,1.0,227,imbalanced_cnn.csv
10,0.956349206,0.979674797,0.967871486,246,imbalanced_cnn.csv
11,0.951219512,0.928571429,0.939759036,42,imbalanced_cnn.csv
12,0.97037037,0.865638767,0.915017462,454,imbalanced_cnn.csv
13,0.918032787,0.98245614,0.949152542,57,imbalanced_cnn.csv
14,1.0,0.823529412,0.903225806,68,imbalanced_cnn.csv
15,0.964705882,1.0,0.982035928,82,imbalanced_cnn.csv
16,0.988505747,0.914893617,0.950276243,94,imbalanced_cnn.csv
17,0.9375,0.849056604,0.891089109,53,imbalanced_cnn.csv
18,1.0,0.996721311,0.998357964,305,imbalanced_cnn.csv
19,0.963235294,0.929078014,0.945848375,141,imbalanced_cnn.csv
20,0.953488372,0.872340426,0.911111111,47,imbalanced_cnn.csv
21,0.988888889,0.89,0.936842105,100,imbalanced_cnn.csv
22,0.923076923,0.941176471,0.932038835,51,imbalanced_cnn.csv
23,0.941780822,0.948275862,0.945017182,290,imbalanced_cnn.csv
24,0.949367089,0.949367089,0.949367089,79,imbalanced_cnn.csv
25,0.935897436,0.973333333,0.954248366,150,imbalanced_cnn.csv
26,0.8,1.0,0.888888889,40,imbalanced_cnn.csv
