class,accuraccy,precision,recall,f1,support,model
23,98.53479853,0.985185185,0.974358974,0.979742173,273,balanced_tk_ResNet50_50.csv
24,98.98989899,1,0.828282828,0.906077348,99,balanced_tk_ResNet50_50.csv
25,98.64864865,1,0.97972973,0.989761092,148,balanced_tk_ResNet50_50.csv
26,97.05882353,1,0.970588235,0.985074627,34,balanced_tk_ResNet50_50.csv
27,100,1,1,1,153,balanced_tk_ResNet50_50.csv
28,99.08256881,1,0.981651376,0.990740741,109,balanced_tk_ResNet50_50.csv
29,97.22222222,1,0.996031746,0.998011928,252,balanced_tk_ResNet50_50.csv
30,100,1,0.976190476,0.987951807,84,balanced_tk_ResNet50_50.csv
31,100,1,1,1,42,balanced_tk_ResNet50_50.csv
32,99.53051643,0.997652582,0.997652582,0.997652582,426,balanced_tk_ResNet50_50.csv
33,100,1,1,1,56,balanced_tk_ResNet50_50.csv
34,99.74489796,0.997416021,0.984693878,0.991014121,392,balanced_tk_ResNet50_50.csv
35,100,1,0.916666667,0.956521739,60,balanced_tk_ResNet50_50.csv
36,100,1,1,1,43,balanced_tk_ResNet50_50.csv
37,87.75510204,0.924528302,1,0.960784314,49,balanced_tk_ResNet50_50.csv
38,98.67724868,0.909090909,0.978835979,0.942675159,378,balanced_tk_ResNet50_50.csv
39,98.79518072,1,1,1,83,balanced_tk_ResNet50_50.csv
40,90.07092199,0.996,0.882978723,0.936090226,282,balanced_tk_ResNet50_50.csv
41,100,0.968992248,0.939849624,0.954198473,266,balanced_tk_ResNet50_50.csv
42,99.67320261,0.987096774,1,0.993506494,306,balanced_tk_ResNet50_50.csv
0,95.65217391,1,0.782608696,0.87804878,46,balanced_tk_ResNet50_152.csv
1,93.47368421,0.861878453,0.985263158,0.919449902,475,balanced_tk_ResNet50_152.csv
2,99.75247525,0.99751861,0.995049505,0.996282528,404,balanced_tk_ResNet50_152.csv
3,97.66536965,0.973282443,0.992217899,0.98265896,257,balanced_tk_ResNet50_152.csv
4,99.51100244,0.997560976,1,0.998778999,409,balanced_tk_ResNet50_152.csv
5,97.55501222,0.99270073,0.997555012,0.995121951,409,balanced_tk_ResNet50_152.csv
6,100,1,1,1,169,balanced_tk_ResNet50_152.csv
7,100,0.966666667,0.974789916,0.970711297,119,balanced_tk_ResNet50_152.csv
8,100,1,1,1,88,balanced_tk_ResNet50_152.csv
9,99.58506224,1,1,1,241,balanced_tk_ResNet50_152.csv
10,98.3935743,0.987603306,0.959839357,0.973523422,249,balanced_tk_ResNet50_152.csv
11,100,0.971428571,1,0.985507246,34,balanced_tk_ResNet50_152.csv
12,97.07207207,0.958333333,0.932432432,0.945205479,444,balanced_tk_ResNet50_152.csv
13,96.1038961,0.97260274,0.922077922,0.946666667,77,balanced_tk_ResNet50_152.csv
14,98.41269841,1,0.888888889,0.941176471,63,balanced_tk_ResNet50_152.csv
15,95.6043956,1,0.901098901,0.947976879,91,balanced_tk_ResNet50_152.csv
16,97.84946237,0.911764706,1,0.953846154,93,balanced_tk_ResNet50_152.csv
17,98.24561404,0.948275862,0.964912281,0.956521739,57,balanced_tk_ResNet50_152.csv
18,98.87218045,0.992366412,0.977443609,0.984848485,266,balanced_tk_ResNet50_152.csv
19,96.2962963,0.92173913,0.981481481,0.950672646,108,balanced_tk_ResNet50_152.csv
20,92.15686275,1,0.941176471,0.96969697,51,balanced_tk_ResNet50_152.csv
21,90.81632653,0.989361702,0.948979592,0.96875,98,balanced_tk_ResNet50_152.csv
22,100,0.857142857,0.981818182,0.915254237,55,balanced_tk_ResNet50_152.csv
23,99.26739927,0.927586207,0.985347985,0.955595027,273,balanced_tk_ResNet50_152.csv
24,97.97979798,0.942307692,0.98989899,0.965517241,99,balanced_tk_ResNet50_152.csv
25,98.64864865,0.979591837,0.972972973,0.976271186,148,balanced_tk_ResNet50_152.csv
26,100,0.918918919,1,0.957746479,34,balanced_tk_ResNet50_152.csv
27,100,0.950310559,1,0.974522293,153,balanced_tk_ResNet50_152.csv
28,99.08256881,1,0.981651376,0.990740741,109,balanced_tk_ResNet50_152.csv
29,98.01587302,0.996031746,0.996031746,0.996031746,252,balanced_tk_ResNet50_152.csv
30,94.04761905,1,0.928571429,0.962962963,84,balanced_tk_ResNet50_152.csv
31,100,1,1,1,42,balanced_tk_ResNet50_152.csv
32,99.76525822,0.992941176,0.990610329,0.991774383,426,balanced_tk_ResNet50_152.csv
33,100,1,0.892857143,0.943396226,56,balanced_tk_ResNet50_152.csv
34,99.23469388,0.989247312,0.93877551,0.963350785,392,balanced_tk_ResNet50_152.csv
35,95,1,0.916666667,0.956521739,60,balanced_tk_ResNet50_152.csv
